salinity,ph,DO,temperature,oxygen,co3,hco3,tom,hard,ca,tan,no2,po4,mg,no3,alkalinity,class
36.5,8.3,,,,,,,,,,,,,,,safe
36.5,8.3,,,,,,,,,,,,,,,safe
36.5,8.4,,,,,,,,,,,,,,,ph
36.5,8.3,,,,,,,,,,,,,,,safe
36.5,8.3,,,,,,,,,,,,,,,safe
36.5,8.4,,,,,,,,,,,,,,,ph
36.5,8.4,,,,,,,,,,,,,,,ph
36.5,8.3,,,,,,,,,,,,,,,safe
36.5,8.3,,,,,,,,,,,,,,,safe
36.5,8.4,,,,,,,,,,,,,,,ph
36.5,8.4,,,,,,,,,,,,,,,ph
36.5,8.4,,,,,,,,,,,,,,,ph
36.5,8.4,,,,,,,,,,,,,,,ph
36.5,8.3,,,,,,,,,,,,,,,safe
37,8.3,,,,,,,,,,,,,,,safe
37,8.3,,,,,,,,,,,,,,,safe
36.5,8.3,,,,,,,,,,,,,,,safe
36.5,8.3,,,,,,,,,,,,,,,safe
36.5,8.3,,,,,,,,,,,,,,,safe
36.5,8.4,,,,,,,,,,,,,,,ph
36.5,8.3,,,,,,,,,,,,,,,safe
36.5,8.4,,,,,,,,,,,,,,,ph
36.5,8.4,,,,,,,,,,,,,,,ph
36.5,8.4,,,,,,,,,,,,,,,ph
36.5,8.4,,,,,,,,,,,,,,,ph
36.5,8.4,,,,,,,,,,,,,,,ph
36.5,8.4,,,,,,,,,,,,,,,ph
36.5,8.3,,,,,,,,,,,,,,,safe
37,8.3,,,,,,,,,,,,,,,safe
36.5,8.4,,,,,,,,,,,,,,,ph
36.5,8.4,,,,,,,,,,,,,,,ph
36.5,8.4,,,,,,,,,,,,,,,ph
36.5,8.4,,,,,,,,,,,,,,,ph
36.5,8.4,,,,,,,,,,,,,,,ph
36.5,8.4,,,,,,,,,,,,,,,ph
36.5,8.4,,,,,,,,,,,,,,,ph
36.5,8.4,,,,,,,,,,,,,,,ph
36.5,8.4,,,,,,,,,,,,,,,ph
36.5,8.5,,,,,,,,,,,,,,,ph
36.5,8.5,,,,,,,,,,,,,,,ph
36.5,8.4,,,,,,,,,,,,,,,ph
36.5,8.4,,,,,,,,,,,,,,,ph
36.5,8.4,,,,,,,,,,,,,,,ph
36.5,8.4,,,,,,,,,,,,,,,ph
36.5,8.4,,,,,,,,,,,,,,,ph
36.5,8.4,,,,,,,,,,,,,,,ph
36.5,8.4,,,,,,,,,,,,,,,ph
36.5,8.4,,,,,,,,,,,,,,,ph
36.5,8.5,,,,,,,,,,,,,,,ph
36.5,8.5,,,,,,,,,,,,,,,ph
36.5,8.5,,,,,,,,,,,,,,,ph
36.5,8.6,,,,,,,,,,,,,,,ph
37,8.5,,,,,,,,,,,,,,,ph
36.5,8.5,,,,,,,,,,,,,,,ph
36.5,8.2,,,,,,,,,,,,,,,safe
37,8.3,,,,,,,,,,,,,,,safe
36.5,8.3,,,,,,,,,,,,,,,safe
37,8.3,,,,,,,,,,,,,,,safe
36.5,8.3,,,,,,,,,,,,,,,safe
36.5,8.3,,,,,,,,,,,,,,,safe
37,8.3,,,,,,,,,,,,,,,safe
36.5,8.3,,,,,,,,,,,,,,,safe
36.5,8.3,,,,,,,,,,,,,,,safe
37,8.3,,,,,,,,,,,,,,,safe
36.5,8.3,,,,,,,,,,,,,,,safe
37,8.4,,,,,,,,,,,,,,,ph
37,8.4,,,,,,,,,,,,,,,ph
36.5,8.3,,,,27.86,111.44,97.052,7070.7,5959.59,0.088050314,0.012750455,0.259615385,1111.11,5,139.3,safe
37,8.2,,,,15.92,119.4,105.991,7070.7,5959.59,0.028301887,0.011839709,0.163461538,1111.11,5,135.32,safe
37,8.3,,,,19.9,119.4,104.714,7070.7,5959.59,0.05870021,0.015482696,0.153846154,1111.11,5,139.3,safe
37,8.3,,,,23.88,115.42,93.221,6969.69,5858.58,0.049266247,0.010928962,0.149038462,1111.11,5,139.3,safe
36.5,8.3,,,,15.92,121.39,97.052,6969.69,5858.58,0.030398323,0.011839709,0.091346154,1111.11,5,137.31,safe
37,8.3,,,,15.92,121.39,98.329,7070.7,5858.58,0.08490566,0.006375228,0.033653846,1212.12,5,137.31,safe
36.5,8.3,,,,19.9,119.4,100.883,7070.7,5959.59,0.07442348,0.008196721,0.019230769,1111.11,5,139.3,safe
36.5,8.3,,,,19.9,115.42,97.052,7070.7,5959.59,0.035639413,0.010018215,0.091346154,1111.11,5,135.32,safe
36.5,8.4,,,,19.9,115.42,100.883,6969.69,5858.58,0.026205451,0.010928962,0.096153846,1111.11,5,135.32,ph
36.5,8.4,,,,23.88,113.43,95.775,6969.69,5757.57,0.024109015,0.012750455,0.033653846,1212.12,5,137.31,ph
36.5,8.4,,,,23.88,117.41,102.16,7070.7,5959.59,0.035639413,0.007285974,0.028846154,1111.11,5,141.29,ph
36.5,8.4,,,,23.88,111.44,99.606,7070.7,5959.59,0.029350105,0.015482696,0,1111.11,5,135.32,ph
36.5,8.4,,,,23.88,115.42,104.714,7070.7,5959.59,0.047169811,0.009107468,0.057692308,1111.11,5,139.3,ph
36.5,8.4,,,,19.9,113.43,98.329,7070.7,5959.59,0.036687631,0.010018215,0.028846154,1111.11,5,133.33,ph
36.5,8.2,,,,15.92,121.39,104.714,6969.69,1111.11,0.076519916,0.010018215,0.432692308,5858.58,5,137.31,safe
37,8.2,,,,11.94,127.36,104.714,7070.7,1212.12,0.061844864,0.007285974,0.100961538,5858.58,5,139.3,safe
36.5,8.2,,,,7.96,133.33,98.329,7070.7,1111.11,0.025157233,0.008196721,0.014423077,5959.59,5,141.29,safe
37,8.2,,,,15.92,125.37,90.667,7070.7,1111.11,0.061844864,0.007285974,0.091346154,5959.59,5,141.29,safe
36.5,8.3,,,,19.9,117.41,102.16,7070.7,1111.11,0.046121593,0.006375228,0.0625,5959.59,5,137.31,safe
36.5,8.3,,,,19.9,121.39,98.329,7070.7,1111.11,0.029350105,0.009107468,0.0625,5959.59,5,141.29,safe
37,8.3,,,,15.92,123.38,100.883,7070.7,1111.11,0.044025157,0.010018215,0.144230769,5959.59,5,139.3,safe
37,8.3,,,,19.9,121.39,98.329,7070.7,1111.11,0.0639413,0.008196721,0.259615385,5959.59,5,141.29,safe
37,8.3,,,,19.9,123.38,100.883,7070.7,1111.11,0.061844864,0.006375228,0.158653846,5959.59,5,143.28,safe
36.5,8.3,,,,19.9,123.38,89.39,7070.7,1111.11,0.049266247,0.006375228,0.072115385,5959.59,5,143.28,safe
37,8.3,,,,19.9,123.38,102.16,7070.7,1111.11,0.059748428,0.005464481,0.110576923,5959.59,5,143.28,safe
37,8.4,,,,23.88,115.42,100.883,7070.7,1111.11,0.022012579,0.009107468,0.879807692,5959.59,5,139.3,ph
37,8.4,,,,19.9,119.4,100.883,7070.7,1111.11,0.025157233,0.005464481,0.831730769,5959.59,5,139.3,ph
36.5,8.3,,,,,,,,,,,,,,,safe
36.5,8.1,,,,,,,,,,,,,,,safe
36.5,8.3,,,,,,,,,,,,,,,safe
36.5,8.3,,,,,,,,,,,,,,,safe
36.5,8.3,,,,,,,,,,,,,,,safe
36.5,8.3,,,,,,,,,,,,,,,safe
36.5,8.3,,,,,,,,,,,,,,,safe
36.5,8.3,,,,,,,,,,,,,,,safe
36,8.3,,,,,,,,,,,,,,,safe
36.5,8.3,,,,,,,,,,,,,,,safe
36.5,8.3,,,,,,,,,,,,,,,safe
36.5,8.3,,,,,,,,,,,,,,,safe
36.5,8.4,,,,,,,,,,,,,,,ph
36.5,8.4,,,,,,,,,,,,,,,ph
36.5,8.3,,,,,,,,,,,,,,,safe
37,8.2,,,,,,,,,,,,,,,safe
37,8.2,,,,,,,,,,,,,,,safe
36.5,8.2,,,,,,,,,,,,,,,safe
36.5,8.4,,,,,,,,,,,,,,,ph
37,8.3,,,,,,,,,,,,,,,safe
36.5,8.3,,,,,,,,,,,,,,,safe
36.5,8.3,,,,,,,,,,,,,,,safe
36.5,8.3,,,,,,,,,,,,,,,safe
36.5,8.3,,,,,,,,,,,,,,,safe
36.5,8.3,,,,,,,,,,,,,,,safe
36.5,8.3,,,,,,,,,,,,,,,safe
37,8.4,,,,,,,,,,,,,,,ph
37,8.4,,,,,,,,,,,,,,,ph
37,8.3,,,,,,,,,,,,,,,safe
37,8.5,,,,,,,,,,,,,,,ph
37,8.4,,,,,,,,,,,,,,,ph
37,8.4,,,,,,,,,,,,,,,ph
37,8.4,,,,,,,,,,,,,,,ph
37,8.3,,,,,,,,,,,,,,,safe
36.5,8.3,,,,,,,,,,,,,,,safe
36.5,8.3,,,,,,,,,,,,,,,safe
37,8.3,,,,,,,,,,,,,,,safe
36.5,8.3,,,,,,,,,,,,,,,safe
36.5,8.3,,,,,,,,,,,,,,,safe
37,8.3,,,,,,,,,,,,,,,safe
36.5,8.3,,,,,,,,,,,,,,,safe
36.5,8.3,,,,,,,,,,,,,,,safe
37,8.2,,,,,,,,,,,,,,,safe
37,8.2,,,,,,,,,,,,,,,safe
37,8.2,,,,,,,,,,,,,,,safe
37,8.4,,,,,,,,,,,,,,,ph
37,8.2,,,,,,,,,,,,,,,safe
37,8.3,,,,,,,,,,,,,,,safe
36.5,8.2,,,,,,,,,,,,,,,safe
37,8.3,,,,,,,,,,,,,,,safe
36.5,8.3,,,,,,,,,,,,,,,safe
36.5,8.2,,,,,,,,,,,,,,,safe
36.5,8.3,,,,,,,,,,,,,,,safe
37,8.3,,,,,,,,,,,,,,,safe
37,8.5,,,,,,,,,0.036687631,0.014571949,0.355769231,,10,,ph
37,8.3,,,,,,,,,0.037735849,0.008196721,0.360576923,,5,,safe
37,8.4,,,,,,,,,0.034591195,0.013661202,0.341346154,,10,,ph
37,8.5,,,,,,,,,0.040880503,0.014571949,0.293269231,,5,,ph
37,8.5,,,,,,,,,0.035639413,0.016393443,0.206730769,,5,,ph
37,8.4,,,,,,,,,0.034591195,0.014571949,0.201923077,,5,,ph
36.5,8.4,,,,,,,,,0.027253669,0.008196721,0.225961538,,5,,ph
37,8.4,,,,,,,,,0.034591195,0.006375228,0.211538462,,5,,ph
36.5,8.3,,,,,,,,,0.039832285,0.003642987,0.283653846,,5,,safe
37,8.3,,,,,,,,,0.057651992,0.003642987,0.264423077,,5,,safe
37,8.3,,,,,,,,,0.0639413,0.003642987,0.278846154,,5,,safe
37,8.3,,,,,,,,,0.061844864,0.00273224,0.197115385,,5,,safe
37,8.3,,,,,,,,,0.048218029,0.006375228,0.240384615,,5,,safe
37,8.3,,,,,,,,,0.037735849,0.00273224,0.221153846,,5,,safe
36.5,8.3,,,,,,,,,0.033542977,0.030054645,1.144230769,,10,,safe
37,8.3,,,,,,,,,0.019916143,0.009107468,1.086538462,,5,,safe
37,8.2,,,,,,,,,0.020964361,0.009107468,1.125,,5,,safe
37,8.3,,,,,,,,,0.019916143,0.008196721,1.091346154,,5,,safe
37,8.4,,,,,,,,,0.028301887,0.018214936,1.096153846,,5,,ph
36.5,8.3,,,,,,,,,0.026205451,0.008196721,1.206730769,,5,,safe
37,8.3,,,,,,,,,0.022012579,0.010928962,1.173076923,,5,,safe
36.5,8.3,,,,,,,,,0.025157233,0.014571949,1.235576923,,10,,safe
37,8.4,,,,,,,,,0.018867925,0.010928962,0.634615385,,5,,ph
36.5,8.4,,,,,,,,,0.036687631,0.007285974,1.110576923,,5,,ph
36.5,8.4,,,,,,,,,0.017819706,0.010018215,1.100961538,,5,,ph
