salinity,ph,DO,temperature,oxygen,co3,hco3,tom,hard,ca,tan,no2,po4,mg,no3,alkalinity,class
36.5,8.5,4.53,31.1,74.2,24,118,111.232,7135.5,6030,0.036328872,0.038251366,0.03030303,1105.5,5,142,ph
37,8.4,4.39,30.9,71.7,20,120,111.232,7135.5,6030,0.015296367,0.035519126,0.232323232,1105.5,5,140,ph
36.5,8.5,4.73,31,77.4,20,122,115.024,7035,5929.5,0.031548757,0.0428051,0.070707071,1105.5,5,142,ph
37,8.5,4.35,31,71.2,28,114,112.496,7135.5,6030,0.02581262,0.030054645,0.090909091,1105.5,5,142,ph
37,8.4,4.62,31,75.8,20,120,112.496,7035,5929.5,0.039196941,0.037340619,0,1105.5,5,140,ph
37,8.5,4.4,31.1,72.4,20,120,101.12,7135.5,5929.5,0.033460803,0.035519126,0,1206,5,140,ph
36.5,8.6,5.03,30.9,82.2,32,108,103.648,7035,5929.5,0.021032505,0.027322404,0,1105.5,5,140,ph
37,8.4,4.36,31.1,71.4,20,120,101.12,7135.5,6030,0.020076482,0.020947177,0,1105.5,5,140,ph
36.5,8.5,4.77,31.1,78.1,20,118,101.12,7135.5,6030,0.021988528,0.02276867,0,1105.5,5,138,ph
37,8.5,4.75,31,77.7,20,118,107.44,7035,5929.5,0.022944551,0.029143898,0,1105.5,5,138,ph
36.5,8.5,4.95,31,81.1,20,112,111.232,7035,5929.5,0.022944551,0.024590164,0,1105.5,5,132,ph
36.5,8.5,4.76,31.1,77.9,28,108,98.592,7135.5,6030,0.021032505,0.017304189,0,1105.5,5,136,ph
37,8.5,4.81,31.1,78.3,24,116,112.496,7135.5,5929.5,0.02581262,0.023679417,0,1206,5,140,ph
37,8.5,4.75,31,77.7,20,116,106.176,7135.5,6030,0.020076482,0.02003643,0,1105.5,5,136,ph
36.5,8.3,4.81,30.5,78.1,8,126,99.856,6934.5,1105.5,0.004780115,0.027322404,0.747474747,5829,5,134,do
37.5,8.4,4.61,30.4,74.7,12,126,109.968,7035,1105.5,0.007648184,0.025500911,0.651515152,5929.5,5,138,ph
37,8.4,4.82,30.5,78.3,12,128,101.12,7035,1105.5,0.007648184,0.027322404,0.47979798,5929.5,5,140,ph
36.5,8.5,4.52,30.5,73.2,16,122,106.176,7035,1105.5,0.007648184,0.021857923,0.666666667,5929.5,5,138,ph
36.5,8.4,4.51,30.3,73,12,124,101.12,6934.5,1105.5,0.017208413,0.030965392,0.52020202,5829,5,136,ph
36.5,8.5,4.4,30.4,71.4,16,122,106.176,7035,1105.5,0.010516252,0.019125683,0.838383838,5929.5,5,138,ph
37,8.5,4.44,30.4,71.9,20,122,112.496,7035,1005,0.018164436,0.028233151,0.570707071,6030,5,142,ph
36.5,8.5,4.97,30.5,80.6,16,128,107.44,7035,1105.5,0.018164436,0.031876138,0.984848485,5929.5,5,144,ph
37,8.5,4.92,30.4,79.9,16,130,107.44,7035,1105.5,0.014340344,0.028233151,0.656565657,5929.5,5,146,ph
36.5,8.5,4.78,30.5,77.7,12,130,99.856,7035,1105.5,0.01625239,0.028233151,0.505050505,5929.5,5,142,ph
36.5,8.5,4.9,30.6,79.7,12,132,109.968,7035,1105.5,0.020076482,0.029143898,0.54040404,5929.5,5,144,ph
37,8.5,4.94,30.5,80.1,16,118,97.328,7035,1105.5,0.008604207,0.016393443,0.429292929,5929.5,5,134,ph
37,8.7,4.68,30.4,75.9,24,116,107.44,7135.5,1105.5,0.013384321,0.024590164,0.464646465,6030,5,140,ph
