salinity,ph,DO,temperature,oxygen,co3,hco3,tom,hard,ca,tan,no2,po4,mg,no3,alkalinity,class
31.5,9.2,0,0,86.8,0,0,0,0,0,0.05,0.02,0.2,0,10,0,ph
33.5,8.8,0,0,86,32,102,85.07,6169.12,1094.52,0.04,0.01,0.19,5074.6,10,134,ph
33.5,8.8,0,0,0,0,0,0,0,0,0.334,0.038,0.587,0,5,0,ph
34,8.5,0,0,0,16,150,111.873,6734.706,1122.451,1.16,0.02,0.52,5612.255,10,166,ph
0,0,5.71,27.4,87.5,0,0,0,0,0,0.03,0.01,0.19,0,10,0,do
0,0,5,28,0,0,0,0,0,0,0.149,0,0.227,0,5,0,do
34.5,8.2,0,0,0,12,138,109.968,6598.995,1218.276,0.578,0.009,0.32,5380.719,5,150,safe
0,0,0,0,0,28,108,107.27,6169.12,1094.52,0.06,0.02,0.23,5074.6,17.5,136,safe
0,0,5,28,0,60,64,85.96,5800,1000,0.02,0.01,0.25,4800,5,124,do
31.5,9.1,0,0,0,28,110,107.27,6169.12,995.02,0.07,0.02,0.26,5174.1,17.5,138,ph
0,0,0,0,0,4,148,118.816,6598.995,1116.753,0.053,0.042,0.388,5482.242,10,152,safe
0,0,5,27,0,0,0,0,0,0,0.121,0.029,0.399,0,10,0,do
0,0,5,28,0,20,148,115.644,6632.665,1224.492,1.53,0.03,0.81,5408.173,17.5,168,do
0,0,5,28,0,0,0,0,0,0,0.03,0.01,0.15,0,17.5,0,do
32,9.3,0,0,0,0,0,0,0,0,0.04,0.02,0.2,0,10,138,ph
34,8.7,0,0,0,0,0,0,0,0,1.481,0.022,0.922,0,5,0,ph
0,0,5.31,28,81.5,60,66,82.11,5800,1000,0.18,0.01,0.26,4800,5,126,do
32,9.6,0,0,0,40,98,85.07,6169.12,1094.52,0.05,0.01,0.19,5074.6,17.5,138,ph
34.5,8.4,0,0,0,0,0,0,0,0,0.05,0.03,0.22,0,10,0,ph
32.5,9.1,0,0,85.1,0,0,0,0,0,0.116,0.014,0.318,0,5,0,ph
33,8.7,0,0,0,0,66,93.66,5900,1000,0.02,0.01,0.21,4900,5,114,ph
34,8.3,0,0,0,12,134,118.816,6700.518,1218.276,0.044,0.042,0.393,5482.242,10,146,safe
31.5,9.3,0,0,0,0,0,0,0,0,1.198,0.029,0.886,0,5,0,ph
34,8.7,0,0,87.4,24,114,113.65,6268.63,1094.52,0.08,0.03,0.23,5174.1,10,138,ph
